# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 28 09:08:31 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmaxstr in [0.1,1]
# CONSTRAINT:  and pl_radestr in [0.5,3]
# CONSTRAINT:  and st_massstr in [0.1,1])
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1056 b,Kepler-1056,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,27.49563400,0.00014850,-0.00014850,0,0.162900,,,0,2.110,0.610,-0.370,0,,,,,,,,,,,,,,0.000000,,,0,28.66,24.80,-11.45,0,590,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5657.00,169.00,-169.00,0,0.91,0.26,-0.16,0,0.76,0.12,-0.04,0,-0.480,0.300,-0.300,0,[Fe/H],4.40,0.17,-0.20,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m06.24s,299.5259832,+46d53m57.32s,46.8992561,982.5100000,19.3375000,-19.3375000,14.7720000,0.1720000,-0.1720000,12.8270000,0.0190000,-0.0190000,14.5601000,0.0002850,-0.0002850,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1304 b,Kepler-1304,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,16.12888530,0.00011910,-0.00011910,0,0.113800,,,0,2.310,1.540,-0.260,0,,,,,,,,,,,,,,0.000000,,,0,36.62,79.42,-10.79,0,627,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5295.00,178.00,-145.00,0,0.82,0.55,-0.09,0,0.76,0.16,-0.06,0,-0.240,0.380,-0.260,0,[Fe/H],4.49,0.09,-0.50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m06.33s,285.2763652,+39d26m48.58s,39.4468274,2176.0800000,127.1400000,-114.1000000,15.4080000,0.1140000,-0.1140000,13.0540000,0.0320000,-0.0320000,15.0446000,0.0006020,-0.0006020,2014-11-21,2014-12-18,2014-11-21
Kepler-1304 b,Kepler-1304,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,16.12888530,0.00011910,-0.00011910,0,0.113800,,,0,2.310,1.540,-0.260,0,,,,,,,,,,,,,,0.000000,,,0,36.62,79.42,-10.79,0,627,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5295.00,178.00,-145.00,0,0.82,0.55,-0.09,0,0.76,0.16,-0.06,0,-0.240,0.380,-0.260,0,[Fe/H],4.49,0.09,-0.50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m06.33s,285.2763652,+39d26m48.58s,39.4468274,2176.0800000,127.1400000,-114.1000000,15.4080000,0.1140000,-0.1140000,13.0540000,0.0320000,-0.0320000,15.0446000,0.0006020,-0.0006020,2015-08-25,2015-09-24,2015-08-25
Kepler-1304 b,Kepler-1304,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,16.12888530,0.00011910,-0.00011910,0,0.113800,,,0,2.310,1.540,-0.260,0,,,,,,,,,,,,,,0.000000,,,0,36.62,79.42,-10.79,0,627,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5295.00,178.00,-145.00,0,0.82,0.55,-0.09,0,0.76,0.16,-0.06,0,-0.240,0.380,-0.260,0,[Fe/H],4.49,0.09,-0.50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m06.33s,285.2763652,+39d26m48.58s,39.4468274,2176.0800000,127.1400000,-114.1000000,15.4080000,0.1140000,-0.1140000,13.0540000,0.0320000,-0.0320000,15.0446000,0.0006020,-0.0006020,2014-11-18,2014-12-04,2014-11-18
Kepler-1309 b,Kepler-1309,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,28.84326470,0.00026520,-0.00026520,0,0.167900,,,0,2.270,0.490,-0.220,0,,,,,,,,,,,,,,0.000000,,,0,13.77,9.51,-3.75,0,491,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5151.00,177.00,-142.00,0,0.79,0.17,-0.08,0,0.76,0.13,-0.06,0,-0.160,0.340,-0.260,0,[Fe/H],4.53,0.06,-0.18,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m56.43s,298.7351131,+40d45m50.85s,40.7641262,,,,16.5119000,0.0485000,-0.0485000,13.5420000,0.0390000,-0.0390000,16.1875000,0.0021170,-0.0021170,2014-11-18,2014-12-04,2014-11-18
Kepler-1309 b,Kepler-1309,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,28.84317510,0.00027050,-0.00027050,0,0.167900,,,0,2.660,0.300,-0.300,0,,,,,,,,,,,,,,0.000000,,,0,13.77,5.60,-4.15,0,491,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5151.00,168.00,-153.00,0,0.79,0.09,-0.09,0,0.76,0.10,-0.06,0,-0.160,0.300,-0.300,0,[Fe/H],4.53,0.08,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m56.43s,298.7351131,+40d45m50.85s,40.7641262,,,,16.5119000,0.0485000,-0.0485000,13.5420000,0.0390000,-0.0390000,16.1875000,0.0021170,-0.0021170,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1309 b,Kepler-1309,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,28.84326470,0.00026520,-0.00026520,0,0.167900,,,0,2.270,0.490,-0.220,0,,,,,,,,,,,,,,0.000000,,,0,13.77,9.51,-3.75,0,491,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5151.00,177.00,-142.00,0,0.79,0.17,-0.08,0,0.76,0.13,-0.06,0,-0.160,0.340,-0.260,0,[Fe/H],4.53,0.06,-0.18,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m56.43s,298.7351131,+40d45m50.85s,40.7641262,,,,16.5119000,0.0485000,-0.0485000,13.5420000,0.0390000,-0.0390000,16.1875000,0.0021170,-0.0021170,2014-11-21,2014-12-18,2014-11-21
Kepler-1309 b,Kepler-1309,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,28.84179000,0.00068000,-0.00068000,0,0.168000,,,0,2.100,1.600,-1.600,0,,,,,,,,,,,,,,0.000000,,,0,,,,0,487,,,0,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5142.00,91.00,-91.00,0,0.77,0.58,-0.58,0,0.76,0.10,-0.10,0,,,,0,,4.54,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m56.43s,298.7351131,+40d45m50.85s,40.7641262,,,,16.5119000,0.0485000,-0.0485000,13.5420000,0.0390000,-0.0390000,16.1875000,0.0021170,-0.0021170,2013-10-28,2014-01-08,2013-10-28
Kepler-1309 b,Kepler-1309,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,28.84326470,0.00026520,-0.00026520,0,0.167900,,,0,2.270,0.490,-0.220,0,,,,,,,,,,,,,,0.000000,,,0,13.77,9.51,-3.75,0,491,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5151.00,177.00,-142.00,0,0.79,0.17,-0.08,0,0.76,0.13,-0.06,0,-0.160,0.340,-0.260,0,[Fe/H],4.53,0.06,-0.18,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m56.43s,298.7351131,+40d45m50.85s,40.7641262,,,,16.5119000,0.0485000,-0.0485000,13.5420000,0.0390000,-0.0390000,16.1875000,0.0021170,-0.0021170,2015-08-25,2015-09-24,2015-08-25
Kepler-1347 b,Kepler-1347,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,14.00947528,0.00007001,-0.00007001,0,0.104000,,,0,0.990,0.070,-0.050,0,,,,,,,,,,,,,,0.000000,,,0,34.32,7.90,-6.00,0,617,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5153.00,105.00,-98.00,0,0.77,0.05,-0.04,0,0.76,0.05,-0.04,0,-0.180,0.160,-0.140,0,[Fe/H],4.55,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m38.30s,299.6595903,+40d50m37.87s,40.8438526,,,,13.5570000,0.1140000,-0.1140000,11.4860000,0.0200000,-0.0200000,13.4122000,0.0009660,-0.0009660,2015-08-25,2015-09-24,2015-08-25
Kepler-1347 b,Kepler-1347,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,14.00948631,0.00006676,-0.00006676,0,0.104000,,,0,0.980,0.060,-0.050,0,,,,,,,,,,,,,,0.000000,,,0,34.32,6.88,-6.32,0,617,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5153.00,102.00,-102.00,0,0.77,0.04,-0.05,0,0.76,0.05,-0.04,0,-0.180,0.150,-0.150,0,[Fe/H],4.55,0.05,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m38.30s,299.6595903,+40d50m37.87s,40.8438526,,,,13.5570000,0.1140000,-0.1140000,11.4860000,0.0200000,-0.0200000,13.4122000,0.0009660,-0.0009660,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1347 b,Kepler-1347,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,14.00947528,0.00007001,-0.00007001,0,0.104000,,,0,0.990,0.070,-0.050,0,,,,,,,,,,,,,,0.000000,,,0,34.32,7.90,-6.00,0,617,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5153.00,105.00,-98.00,0,0.77,0.05,-0.04,0,0.76,0.05,-0.04,0,-0.180,0.160,-0.140,0,[Fe/H],4.55,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m38.30s,299.6595903,+40d50m37.87s,40.8438526,,,,13.5570000,0.1140000,-0.1140000,11.4860000,0.0200000,-0.0200000,13.4122000,0.0009660,-0.0009660,2014-11-21,2014-12-18,2014-11-21
Kepler-1347 b,Kepler-1347,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,14.00947528,0.00007001,-0.00007001,0,0.104000,,,0,0.990,0.070,-0.050,0,,,,,,,,,,,,,,0.000000,,,0,34.32,7.90,-6.00,0,617,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5153.00,105.00,-98.00,0,0.77,0.05,-0.04,0,0.76,0.05,-0.04,0,-0.180,0.160,-0.140,0,[Fe/H],4.55,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m38.30s,299.6595903,+40d50m37.87s,40.8438526,,,,13.5570000,0.1140000,-0.1140000,11.4860000,0.0200000,-0.0200000,13.4122000,0.0009660,-0.0009660,2014-11-18,2014-12-04,2014-11-18
Kepler-1389 b,Kepler-1389,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,99.25309510,0.00087110,-0.00087110,0,0.382500,,,0,1.770,0.360,-0.160,0,,,,,,,,,,,,,,0.000000,,,0,2.41,1.63,-0.65,0,318,,,0,1,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5129.00,203.00,-159.00,0,0.75,0.15,-0.07,0,0.76,0.12,-0.07,0,-0.200,0.340,-0.280,0,[Fe/H],4.56,0.05,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m52.19s,285.7174414,+44d45m30.06s,44.7583487,497.0930000,4.7000000,-4.7000000,14.8960000,0.1030000,-0.1030000,12.6960000,0.0210000,-0.0210000,14.6836000,0.0002870,-0.0002870,2014-11-18,2014-12-04,2014-11-18
Kepler-1389 b,Kepler-1389,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,99.25309510,0.00087110,-0.00087110,0,0.382500,,,0,1.770,0.360,-0.160,0,,,,,,,,,,,,,,0.000000,,,0,2.41,1.63,-0.65,0,318,,,0,1,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5129.00,203.00,-159.00,0,0.75,0.15,-0.07,0,0.76,0.12,-0.07,0,-0.200,0.340,-0.280,0,[Fe/H],4.56,0.05,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m52.19s,285.7174414,+44d45m30.06s,44.7583487,497.0930000,4.7000000,-4.7000000,14.8960000,0.1030000,-0.1030000,12.6960000,0.0210000,-0.0210000,14.6836000,0.0002870,-0.0002870,2014-11-21,2014-12-18,2014-11-21
Kepler-1389 b,Kepler-1389,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,99.25309510,0.00087110,-0.00087110,0,0.382500,,,0,1.770,0.360,-0.160,0,,,,,,,,,,,,,,0.000000,,,0,2.41,1.63,-0.65,0,318,,,0,1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5129.00,203.00,-159.00,0,0.75,0.15,-0.07,0,0.76,0.12,-0.07,0,-0.200,0.340,-0.280,0,[Fe/H],4.56,0.05,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m52.19s,285.7174414,+44d45m30.06s,44.7583487,497.0930000,4.7000000,-4.7000000,14.8960000,0.1030000,-0.1030000,12.6960000,0.0210000,-0.0210000,14.6836000,0.0002870,-0.0002870,2015-08-25,2015-09-24,2015-08-25
Kepler-1459 b,Kepler-1459,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,62.86946300,0.00102400,-0.00102400,0,0.282900,,,0,1.960,0.060,-0.120,0,,,,,,,,,,,,,,0.000000,,,0,3.51,0.51,-0.59,0,349,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4762.00,85.00,-76.00,0,0.78,0.03,-0.04,0,0.76,0.04,-0.03,0,0.200,0.150,-0.150,0,[Fe/H],4.54,0.06,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m41.51s,282.4229401,+46d00m50.31s,46.0139761,455.4790000,4.3420000,-4.2610000,14.8930000,0.1140000,-0.1140000,12.3840000,0.0160000,-0.0160000,14.5519000,0.0002970,-0.0002970,2017-05-08,2017-08-31 00:00,2017-05-08
